"","kills","deaths","assists","killingSprees","largestKillingSpree","largestMultiKill","doubleKills","tripleKills","quadraKills","pentaKills","totalDamageDealt","totalDamageDealtToChampions","magicDamageDealt","physicalDamageDealt","trueDamageDealt","damageDealtToObjectives","damageDealtToTurrets","damageSelfMitigated","totalDamageTaken","goldEarned","goldSpent","totalMinionsKilled","neutralMinionsKilled","lane","teamPosition","timePlayed","visionScore","wardsPlaced","wardsKilled","longestTimeSpentLiving","totalHeal","totalHealsOnTeammates","totalDamageShieldedOnTeammates","timeCCingOthers","firstBloodKill","firstBloodAssist","firstTowerKill","firstTowerAssist","killParticipation","takedowns"
"187",4,6,1,1,2,1,0,0,0,0,165962,8687,18735,104235,42991,5582,0,11075,23422,8556,8125,12,143,"JUNGLE","JUNGLE",1393,13,2,3,392,11396,0,0,6,FALSE,FALSE,FALSE,FALSE,NA,NA
"188",5,10,5,0,0,1,0,0,0,0,110111,26152,39635,62773,7703,2723,2009,13602,23902,9973,9608,182,0,"TOP","BOTTOM",1567,7,7,0,252,1052,0,0,0,FALSE,TRUE,FALSE,FALSE,NA,NA
"189",16,3,10,2,8,2,2,0,0,0,190273,42782,0,186027,4246,13714,10250,62252,34567,16268,15500,195,14,"TOP","TOP",1714,20,9,1,1021,14751,0,0,19,FALSE,FALSE,TRUE,FALSE,NA,NA
"190",5,2,2,1,4,1,0,0,0,0,137726,20159,11973,121760,3992,17308,7612,13352,20899,9904,8258,194,3,"TOP","TOP",1395,15,9,0,715,4774,0,0,33,FALSE,FALSE,FALSE,FALSE,NA,NA
"191",20,10,11,6,6,3,3,1,0,0,360879,78863,85397,229177,46303,47698,8798,33559,45800,22436,25778,315,15,"BOTTOM","BOTTOM",2435,20,6,9,780,17534,0,0,4,FALSE,FALSE,FALSE,TRUE,NA,NA
"192",4,6,14,1,2,1,0,0,0,0,180616,13278,73817,39188,67611,15291,371,42194,26851,10167,9875,15,134,"JUNGLE","JUNGLE",1511,18,3,3,443,17996,5112,1078,31,FALSE,FALSE,FALSE,FALSE,NA,NA
"193",17,16,44,5,4,3,3,1,0,0,165522,65557,0,158412,7110,0,0,134115,79501,20497,19350,92,0,"TOP","",1811,0,0,0,180,20365,0,0,27,FALSE,FALSE,FALSE,FALSE,NA,NA
"194",10,9,15,4,2,1,0,0,0,0,73188,28800,1659,67583,3945,2071,2071,13044,20362,11921,11050,61,0,"NONE","",999,0,0,0,252,3545,0,0,23,FALSE,TRUE,TRUE,FALSE,NA,NA
"195",6,4,5,2,4,1,0,0,0,0,123078,18165,98707,20381,3989,13539,13102,9816,20823,11482,9550,179,0,"JUNGLE","TOP",1595,12,7,0,352,3958,0,0,6,FALSE,FALSE,FALSE,FALSE,NA,NA
"196",2,1,0,1,2,1,0,0,0,0,55337,5583,42600,9045,3691,601,601,3071,6790,4838,4425,113,0,"NONE","TOP",764,8,4,1,376,126,0,0,3,FALSE,FALSE,FALSE,FALSE,NA,NA
"197",6,8,11,2,3,2,1,0,0,0,30444,11633,26543,3505,395,0,0,16087,23376,8211,7700,21,0,"NONE","",697,0,0,0,147,4899,0,0,9,FALSE,FALSE,FALSE,FALSE,NA,NA
